gene_id,symbol,name
ENSG00000184060,ADAP2,ArfGAP with dual PH domains 2
ENSG00000184068,SREBF2-AS1,SREBF2 antisense RNA 1
ENSG00000184076,UQCR10,"ubiquinol-cytochrome c reductase, complex III subunit X"
ENSG00000184083,FAM120C,family with sequence similarity 120 member C
ENSG00000184084,ATP5PFP4,ATP5PF pseudogene 4
ENSG00000184100,BRD7P2,bromodomain containing 7 pseudogene 2
ENSG00000184110,EIF3C,eukaryotic translation initiation factor 3 subunit C
ENSG00000184113,CLDN5,claudin 5
ENSG00000184117,NIPSNAP1,nipsnap homolog 1
ENSG00000184144,CNTN2,contactin 2
ENSG00000184154,LRRC51,leucine rich repeat containing 51
ENSG00000184160,ADRA2C,adrenoceptor alpha 2C
ENSG00000184162,NR2C2AP,nuclear receptor 2C2 associated protein
ENSG00000184163,C1QTNF12,C1q and TNF related 12
ENSG00000184164,CRELD2,CRELD disulfide isomerase 2
ENSG00000184166,OR1D2,olfactory receptor family 1 subfamily D member 2
ENSG00000184178,SCFD2,sec1 family domain containing 2
ENSG00000184182,UBE2F,ubiquitin conjugating enzyme E2 F (putative)
ENSG00000184185,KCNJ12,potassium inwardly rectifying channel subfamily J member 12
ENSG00000184188,,
ENSG00000184194,GPR173,G protein-coupled receptor 173
ENSG00000184203,PPP1R2,protein phosphatase 1 regulatory inhibitor subunit 2
ENSG00000184205,TSPYL2,TSPY like 2
ENSG00000184206,GOLGA6L4,golgin A6 family like 4
ENSG00000184207,PGP,phosphoglycolate phosphatase
ENSG00000184208,C22orf46P,"chromosome 22 open reading frame 46, pseudogene"
ENSG00000184209,SNRNP35,small nuclear ribonucleoprotein U11/U12 subunit 35
ENSG00000184216,IRAK1,interleukin 1 receptor associated kinase 1
ENSG00000184220,CMSS1,cms1 ribosomal small subunit homolog
ENSG00000184221,OLIG1,oligodendrocyte transcription factor 1
ENSG00000184224,NDUFV1-DT,NDUFV1 divergent transcript
ENSG00000184226,PCDH9,protocadherin 9
ENSG00000184227,ACOT1,acyl-CoA thioesterase 1
ENSG00000184232,OAF,out at first homolog
ENSG00000184254,ALDH1A3,aldehyde dehydrogenase 1 family member A3
ENSG00000184260,H2AC20,H2A clustered histone 20
ENSG00000184261,KCNK12,potassium two pore domain channel subfamily K member 12
ENSG00000184270,H2AC21,H2A clustered histone 21
ENSG00000184271,POU6F1,POU class 6 homeobox 1
ENSG00000184274,LOC124905040,uncharacterized LOC124905040
ENSG00000184277,TM2D3,TM2 domain containing 3
